[Measurement for 1mb at 01:04:45 17.04.2014] 
Tshark:

  1   0.000000 fe80::5ef9:6aff:fe25:83d4 -> fe80::446a:b521:8794:ef65 ICMPv6 86 Neighbor Solicitation for fe80::446a:b521:8794:ef65 from 5c:f9:6a:25:83:d4
  2   0.000254 fe80::446a:b521:8794:ef65 -> fe80::5ef9:6aff:fe25:83d4 ICMPv6 86 Neighbor Advertisement fe80::446a:b521:8794:ef65 (sol, ovr) is at 00:24:d7:3f:fc:98
492   2.885049  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=453601 Win=565504 Len=0
493   2.885149 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
494   2.885205 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
495   2.885273  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=456401 Win=565504 Len=0
496   2.885390 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
497   2.889440 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
498   2.889505  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=459201 Win=565504 Len=0
499   2.889589 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
500   2.889631 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
501   2.889672  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=462001 Win=565504 Len=0
502   2.889745 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
503   2.889785 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
504   2.889823  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=464801 Win=565504 Len=0
505   2.889896 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
506   2.889936 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
507   2.889973  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=467601 Win=565504 Len=0
508   2.890045 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
509   2.890086 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
510   2.890123  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=470401 Win=565504 Len=0
511   2.890196 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
512   2.890237 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
513   2.890274  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=473201 Win=565504 Len=0
514   2.890538 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
515   2.890605 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
516   2.890668  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=476001 Win=565504 Len=0
517   2.890782 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
518   2.890837 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
519   2.890901  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=478801 Win=565504 Len=0
520   2.891010 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
521   2.891068 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
522   2.891130  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=481601 Win=565504 Len=0
523   2.891235 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
524   2.891294 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
525   2.891356  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=484401 Win=565504 Len=0
526   2.891463 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
527   2.891519 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
528   2.891578  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=487201 Win=565504 Len=0
529   2.891683 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
530   2.891940 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
531   2.892005  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=490001 Win=565504 Len=0
532   2.892147 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
533   2.892216 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
534   2.892280  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=492801 Win=565504 Len=0
535   2.892423 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
536   2.892486 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
537   2.892547  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=495601 Win=565504 Len=0
538   2.892682 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
539   2.892740 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
540   2.892801  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=498401 Win=565504 Len=0
541   2.892946 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
542   2.893003 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
543   2.893062  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=501201 Win=565504 Len=0
544   2.893205 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
545   2.899411 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
546   2.899483  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=504001 Win=565504 Len=0
547   2.899574 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
548   2.899617 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
549   2.899719  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=506801 Win=565504 Len=0
550   2.899825 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
551   2.899870 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
552   2.899910  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=509601 Win=565504 Len=0
553   2.899984 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
554   2.900053 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
555   2.900119  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=512401 Win=565504 Len=0
556   2.900205 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
557   2.900247 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
558   2.900348  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=515201 Win=565504 Len=0
559   2.900450 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
560   2.900493 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
561   2.900532  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=518001 Win=565504 Len=0
562   2.900729 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
563   2.900804 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
564   2.900870  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=520801 Win=565504 Len=0
565   2.900958 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
566   2.901000 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
567   2.901096  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=523601 Win=565504 Len=0
568   2.901200 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
569   2.901243 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
570   2.901316  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=526401 Win=565504 Len=0
571   2.901391 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
572   2.901466 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
573   2.901532  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=529201 Win=565504 Len=0
574   2.901626 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
575   2.901669 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
576   2.901762  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=532001 Win=565504 Len=0
577   2.901867 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
578   2.902035 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
579   2.902086  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=534801 Win=565504 Len=0
580   2.902188 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
581   2.902244 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
582   2.902313  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=537601 Win=565504 Len=0
583   2.902430 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
584   2.902473 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
585   2.902538  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=540401 Win=565504 Len=0
586   2.902675 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
587   2.902729 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
588   2.902785  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=543201 Win=565504 Len=0
589   2.902906 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
590   2.902964 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
591   2.903029  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=546001 Win=565504 Len=0
592   2.903143 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
593   2.903376 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
594   2.903437  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=548801 Win=565504 Len=0
595   2.903542 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
596   2.903583 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
597   2.903649  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=551601 Win=565504 Len=0
598   2.903792 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
599   2.903843 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
600   2.903884  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=554401 Win=565504 Len=0
601   2.903983 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
602   2.904025 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
603   2.904063  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=557201 Win=565504 Len=0
604   2.904158 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
605   2.906182 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
606   2.906246  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=560001 Win=565504 Len=0
607   2.906337 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
608   2.906379 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
609   2.906420  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=562801 Win=565504 Len=0
610   2.906497 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
611   2.906537 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
612   2.906575  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=565601 Win=565504 Len=0
613   2.906650 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
614   2.906689 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
615   2.906727  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=568401 Win=565504 Len=0
616   2.906798 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
617   2.906838 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
618   2.906874  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=571201 Win=565504 Len=0
619   2.906947 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
620   2.906988 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
621   2.907025  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=574001 Win=565504 Len=0
622   2.907208 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
623   2.907253 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
624   2.907292  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=576801 Win=565504 Len=0
625   2.907393 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
626   2.907433 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
627   2.907471  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=579601 Win=565504 Len=0
628   2.907567 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
629   2.907608 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
630   2.907645  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=582401 Win=565504 Len=0
631   2.907741 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
632   2.907781 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
633   2.907818  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=585201 Win=565504 Len=0
634   2.907913 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
635   2.911499 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
636   2.911561  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=588001 Win=565504 Len=0
637   2.911644 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
638   2.911686 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
639   2.911726  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=590801 Win=565504 Len=0
640   2.911799 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
641   2.911839 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
642   2.911877  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=593601 Win=565504 Len=0
643   2.911948 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
644   2.911987 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
645   2.912026  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=596401 Win=565504 Len=0
646   2.912096 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
647   2.912136 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
648   2.912173  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=599201 Win=565504 Len=0
649   2.912244 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
650   2.912340 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
651   2.912385  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=602001 Win=565504 Len=0
652   2.912810 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
653   2.912857 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
654   2.912897  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=604801 Win=565504 Len=0
655   2.912995 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
656   2.913035 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
657   2.913072  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=607601 Win=565504 Len=0
658   2.913166 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
659   2.913206 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
660   2.913243  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=610401 Win=565504 Len=0
661   2.913350 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
662   2.913390 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
663   2.913427  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=613201 Win=565504 Len=0
664   2.921716 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
665   2.921766 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
666   2.921803  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=616001 Win=618752 Len=0
667   2.921871 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
668   2.921905 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
669   2.921937  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=618801 Win=618752 Len=0
670   2.921999 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
671   2.922032 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
672   2.922063  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=621601 Win=618752 Len=0
673   2.922123 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
674   2.922156 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
675   2.922187  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=624401 Win=618752 Len=0
676   2.922247 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
677   2.922281 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
678   2.922343  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=627201 Win=618752 Len=0
679   2.922405 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
680   2.922570 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
681   2.922613  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=630001 Win=618752 Len=0
682   2.922695 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
683   2.922730 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
684   2.922761  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=632801 Win=618752 Len=0
685   2.922840 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
686   2.922874 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
687   2.922905  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=635601 Win=618752 Len=0
688   2.930343 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
689   2.932160 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
690   2.932216  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=638401 Win=618752 Len=0
691   2.932309 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
692   2.932369 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
693   2.932406  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=641201 Win=618752 Len=0
694   2.932488 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
695   2.932523 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
696   2.932555  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=644001 Win=618752 Len=0
697   2.932634 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
698   2.936856 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
699   2.936908  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=646801 Win=618752 Len=0
700   2.936978 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
701   2.937013 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
702   2.937088  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=649601 Win=618752 Len=0
703   2.937174 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
704   2.937214 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
705   2.937247  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=652401 Win=618752 Len=0
706   2.937336 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
707   2.937373 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
708   2.937405  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=655201 Win=618752 Len=0
709   2.937465 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
710   2.937499 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
711   2.937562  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=658001 Win=618752 Len=0
712   2.937623 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
713   2.937657 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
714   2.937688  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=660801 Win=618752 Len=0
715   2.937889 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
716   2.941115 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
717   2.941172  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=663601 Win=618752 Len=0
718   2.941243 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
719   2.941279 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
720   2.941361  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=666401 Win=618752 Len=0
721   2.941447 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
722   2.941490 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
723   2.941525  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=669201 Win=618752 Len=0
724   2.941587 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
725   2.941642 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
726   2.941695  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=672001 Win=618752 Len=0
727   2.941769 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
728   2.941805 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
729   2.941876  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=674801 Win=618752 Len=0
730   2.941960 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
731   2.941998 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
732   2.942030  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=677601 Win=618752 Len=0
733   2.942155 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
734   2.942214 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
735   2.942270  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=680401 Win=618752 Len=0
736   2.942367 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
737   2.942403 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
738   2.942477  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=683201 Win=618752 Len=0
739   2.942586 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
